"","county","year","sum_total_income_amount","sum_total_income_returns","mean_total_income_amount","income_per_tax_return"
"56","chester",2011,16487,3430,4121.75,4.8067055393586
"57","chester",2012,16813,3410,4203.25,4.93049853372434
"58","chester",2013,17411,3470,4352.75,5.01757925072046
"59","chester",2014,18221,3510,4555.25,5.19116809116809
"60","chester",2015,18073,3540,4518.25,5.10536723163842
"61","claiborne",2011,34412,6835,5735.33333333333,5.03467446964155
"62","claiborne",2012,34342,6960,5723.66666666667,4.93419540229885
"63","claiborne",2013,36470,6870,6078.33333333333,5.30858806404658
"64","claiborne",2014,37327,6890,6221.16666666667,5.41756168359942
"65","claiborne",2015,39810,7230,6635,5.50622406639004
"66","clay",2011,4177,1115,2088.5,3.74618834080717
"67","clay",2012,4846,1130,2423,4.28849557522124
"68","clay",2013,4362,1100,2181,3.96545454545455
"69","clay",2014,4671,1140,2335.5,4.09736842105263
"70","clay",2015,4578,1130,2289,4.05132743362832
"71","cocke",2011,33476,7850,5579.33333333333,4.26445859872611
"72","cocke",2012,33833,7950,5638.83333333333,4.25572327044025
"73","cocke",2013,34749,7980,5791.5,4.35451127819549
"74","cocke",2014,37018,8180,6169.66666666667,4.52542787286064
"75","cocke",2015,39621,8400,6603.5,4.71678571428571
"76","coffee",2011,103999,15611,20799.8,6.66190506693998
"77","coffee",2012,111968,16110,22393.6,6.95021725636251
"78","coffee",2013,112461,16260,22492.2,6.91642066420664
"79","coffee",2014,122455,16730,24491,7.31948595337717
"80","coffee",2015,130046,17130,26009.2,7.59171044950379
"81","crockett",2011,21533,3434,5383.25,6.27052999417589
"82","crockett",2012,20197,3480,5049.25,5.80373563218391
"83","crockett",2013,22726,3540,5681.5,6.41977401129943
"84","crockett",2014,22248,3530,5562,6.30254957507082
"85","crockett",2015,22785,3600,5696.25,6.32916666666667
"86","cumberland",2011,79870,13755,15974,5.80661577608142
"87","cumberland",2012,88490,14090,17698,6.28034066713982
"88","cumberland",2013,91216,14200,18243.2,6.42366197183099
"89","cumberland",2014,96640,14520,19328,6.65564738292011
"90","cumberland",2015,97480,14850,19496,6.56430976430976
"91","davidson",2011,2256515,208364,83574.6296296296,10.8296778714173
"92","davidson",2012,2761533,214260,102279,12.8887006440773
"93","davidson",2013,2779102,219940,102929.703703704,12.6357279257979
"94","davidson",2014,3187960,229470,118072.592592593,13.892709286617
"95","davidson",2015,3602312,238310,133418.962962963,15.1160756997189
"96","decatur",2011,11761,2463,2940.25,4.77507105156313
"97","decatur",2012,12348,2430,3087,5.08148148148148
"98","decatur",2013,12101,2490,3025.25,4.85983935742972
"99","decatur",2014,12235,2440,3058.75,5.01434426229508
"100","decatur",2015,13702,2470,3425.5,5.54736842105263
"101","dekalb",2011,22711,4395,5677.75,5.1674630261661
"102","dekalb",2012,24334,4570,6083.5,5.32472647702407
"103","dekalb",2013,23823,4550,5955.75,5.23582417582418
"104","dekalb",2014,25560,4680,6390,5.46153846153846
"105","dekalb",2015,28056,4830,7014,5.80869565217391
"106","dickson",2011,79083,13716,13180.5,5.76574803149606
"107","dickson",2012,87525,13900,14587.5,6.29676258992806
"108","dickson",2013,93273,14260,15545.5,6.54088359046283
"109","dickson",2014,98974,14800,16495.6666666667,6.68743243243243
"110","dickson",2015,109738,15290,18289.6666666667,7.17710922171354
"111","dyer",2011,58647,9062,14661.75,6.47175016552637
"112","dyer",2012,84344,9020,21086,9.35077605321508
"113","dyer",2013,63123,8930,15780.75,7.06864501679731
"114","dyer",2014,65582,9170,16395.5,7.15179934569248
"115","dyer",2015,67684,9210,16921,7.34896851248643
"116","fayette",2011,141717,10758,23619.5,13.1731734523146
"117","fayette",2012,185331,10910,30888.5,16.9872593950504
"118","fayette",2013,176068,11280,29344.6666666667,15.6088652482269
"119","fayette",2014,186903,11250,31150.5,16.6136
"120","fayette",2015,187026,11550,31171,16.1927272727273
"121","fentress",2011,15103,3312,3775.75,4.5600845410628
"122","fentress",2012,17600,3340,4400,5.26946107784431
"123","fentress",2013,19313,3350,4828.25,5.76507462686567
"124","fentress",2014,20056,3460,5014,5.79653179190751
