"","county","Pct_Black","Pct_Hispanic","Pct_Native_American","Pct_EL","Pct_SWD","Pct_ED","Per_Pupil_Expenditures","Pct_BHN","ACT_Composite","Pct_Chronically_Absent","Pct_Suspended","Pct_Expelled","Graduation","Dropout","CORE_region","mean_math","mean_science","mean_literature"
"82","sumner",10.8,6.5,0.3,2,15.3,36.7,8402,17.6,20.4,9.3,2.4,0,89.5,7,"Mid Cumberland CORE",73.8,68.6,60.3
"83","tipton",24.7,2,0.2,0.4,16,55.5,8279.2,26.9,19.7,10.4,5.6,0,97.8,0.8,"Southwest/Memphis CORE",84.4,68.2,49.3
"84","trousdale",14.7,3.8,0.2,1.1,16.4,57.3,8816.6,18.7,20.8,9.2,1.1,0,96.9,1,"Upper Cumberland CORE",75.6,59.3,59.8
"85","unicoi",0.6,11.4,0.3,4.8,19,66.5,9362,12.3,18.1,23.3,2.4,0,93.6,4,"First TN CORE",51.2,72.6,42.8
"86","union",6,2.9,0.4,0.4,14.1,71.9,8802.5,9.3,17.4,20.9,5.2,0.1,87.1,8.6,"East TN CORE",63.4,53.1,38.2
"87","van",0.1,4.93191489361702,0.308510638297872,0,17.2,63.9,9622.2,0.1,18.4,10.9,0.4,0,91.5,8.5,"Upper Cumberland CORE",68.3,49.2,35.8
"88","warren",5.6,15.5,0.5,6.7,16.5,70.2,8600.8,21.6,18.4,15,1.5,0,89.1,8.8,"Upper Cumberland CORE",65.5707865168539,57.3,43.7
"89","washington",2.5,3,0.4,0.6,14.3,48.2,8500.9,5.9,20.2,14.7,1.3,0.1,91,2.1,"First TN CORE",67,67.6,55
"90","wayne",1.2,1.7,0.2,0.1,19.1,43.6,9505.6,3.1,18.2,19.7,0,0,95.8,1.2,"South Central CORE",71.8,69.5,36.9
"91","weakley",9.9,2.3,0.1,0.1,14.1,58,8439.3,12.3,19.7,9.9,4.4,0,93,4.2,"Northwest CORE",79.3,81.2,55.4
"92","white",3.6,2.1,0.2,0.5,16.7,66.7,7721.1,5.9,18.7,8.4,0.8,0,92.5,3,"Upper Cumberland CORE",80.3,82.8,47.2
"93","williamson",5,5.3,0.7,1.7,10.2,9.6,8739.7,11,23.8,7,0.2,0,94.4,4.4,"Mid Cumberland CORE",90.3,89.2,80.7
"94","wilson",8.1,4.6,0.1,2.2,14.4,29.2,7690.8,12.8,20,11.6,4.8,0,96.3,2.9,"Mid Cumberland CORE",69.8,74.1,60.6
