"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","agi_salaries_wages_returns","agi_salaries_wages_amount","farm_returns","unemployment_compensation_returns","unemployment_compensation_amount","state_local_income_tax_returns","state_local_income_tax_amount","state_local_general_sales_returns","state_local_general_sales_amount","real_estate_returns","real_estate_amount","taxes_paid_returns","taxes_paid_amount","taxable_income_returns","taxable_income_amount","child_tax_credit_returns","child_tax_credit_amount","total_tax_payments_returns","total_tax_payments_amount","tax_due_at_filing_returns","tax_due_at_filing_amount","overpayments_refunded_returns","overpayments_refunded_amount"
"2109",37818,"$1 under $25,000",490,12413,970,12577,760,9757,60,40,109,0,0,30,27,20,20,30,52,380,2355,30,8,910,2338,70,56,860,1943
"2110",37818,"$25,000 under $50,000",390,21692,610,21816,550,18434,60,40,129,0,0,40,73,30,27,50,104,590,10685,150,134,600,2634,60,77,550,1537
"2111",37818,"$50,000 under $75,000",210,17193,280,17260,260,14121,40,30,77,0,0,40,69,30,20,40,94,280,10877,100,143,280,1991,50,60,240,739
"2112",37818,"$75,000 under $100,000",100,11849,140,11925,130,9524,40,0,0,0,0,30,70,40,31,40,112,140,8478,40,72,140,1466,30,105,100,399
"2113",37818,"$100,000 under $200,000",80,11328,90,11495,80,8189,0,0,0,0,0,30,74,30,48,40,180,90,8840,20,28,80,1628,30,160,50,245
"2114",37818,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2115",37819,"Total",150,6823,190,6882,170,5481,0,0,0,0,0,0,0,0,0,0,0,130,3620,30,37,190,989,0,0,190,494
"2116",37819,"$1 under $25,000",60,1287,100,1346,80,977,0,0,0,0,0,0,0,0,0,0,0,40,211,0,0,100,269,0,0,100,222
"2117",37819,"$25,000 under $50,000",40,1879,50,1879,50,1523,0,0,0,0,0,0,0,0,0,0,0,50,847,30,37,50,227,0,0,50,147
"2118",37819,"$50,000 under $75,000",50,3657,40,3657,40,2981,0,0,0,0,0,0,0,0,0,0,0,40,2562,0,0,40,493,0,0,40,125
