"","zip","num_dependents","adj_gross_income","total_income_returns","total_income_amount","taxes_paid_returns","taxes_paid_amount"
"439",38229,770,47431,1130,48267,120,358
"440",38230,940,56130,1390,56815,140,461
"441",38231,510,24454,700,24773,50,159
"442",38232,510,28695,770,28951,60,197
"443",38233,730,46088,1130,47005,120,374
"444",38236,180,9977,270,10071,20,34
"445",38237,3320,270434,5750,274587,850,3276
"446",38240,540,31638,810,32119,50,112
"447",38241,190,12336,300,12512,0,0
"448",38242,5370,375079,8330,382636,1100,4239
"449",38251,680,50442,1170,51307,110,385
"450",38253,270,23832,450,24439,40,168
"451",38255,550,34621,920,35058,50,146
"452",38256,600,58491,1310,59250,180,721
"453",38257,1120,87444,1950,88800,250,1044
"454",38258,360,22533,600,22757,40,133
"455",38259,240,14882,340,15021,30,115
"456",38260,1100,68420,1650,69282,180,660
"457",38261,4810,300385,6960,305316,890,3584
"458",38301,10290,461038,13790,465776,1310,4062
"459",38305,15760,1395061,22810,1419505,5500,25833
"460",38310,1570,95151,2240,96342,290,1020
"461",38311,160,17252,320,17397,60,175
"462",38313,830,65311,1380,66030,150,536
"463",38315,920,49605,1330,50087,140,314
"464",38316,730,46118,1150,46623,100,278
"465",38317,660,33789,930,34025,70,213
"466",38318,130,5903,180,5924,0,0
"467",38320,2710,183774,4340,186096,540,1991
"468",38321,660,41399,1010,41802,90,313
"469",38326,540,56680,1030,57538,230,1028
"470",38327,160,7639,210,7673,0,0
"471",38328,210,15048,350,15178,40,111
"472",38329,850,50532,1230,51267,150,451
"473",38330,1100,61809,1580,62579,150,457
"474",38332,290,16141,400,16364,40,141
"475",38333,110,7792,190,7815,0,0
"476",38334,510,29184,690,29536,90,259
"477",38337,410,24766,580,25080,40,146
"478",38339,180,11994,280,12078,40,98
"479",38340,3530,200873,4820,204064,640,2038
"480",38341,510,30854,820,31256,110,309
"481",38342,370,20193,570,20379,40,121
"482",38343,4670,299384,6600,303315,900,3333
"483",38344,2330,157051,3550,159383,420,1659
"484",38345,540,35263,810,35547,110,298
"485",38347,110,6353,160,6387,0,0
"486",38348,240,15345,380,15426,40,134
"487",38351,5260,327026,7470,331244,900,3455
"488",38352,150,9683,230,9746,30,83
"489",38355,2520,170077,2830,172758,660,2646
"490",38356,620,43776,990,44251,160,449
"491",38357,730,45420,1100,46039,160,473
"492",38358,3610,234637,4990,237787,660,2538
"493",38359,70,3494,110,3494,0,0
"494",38361,250,15125,400,15234,40,120
"495",38362,450,26229,600,26470,80,209
"496",38363,1530,86080,2230,86949,240,702
"497",38366,700,43491,1050,43919,100,294
"498",38367,770,45950,1060,46400,120,396
"499",38368,550,27702,740,28042,50,127
"500",38369,480,31184,780,31564,70,169
"501",38370,160,9796,260,9824,0,0
"502",38371,330,18008,470,18220,40,133
"503",38372,4840,298126,6880,302787,870,3442
"504",38374,510,30947,760,31250,90,291
"505",38375,2610,142816,3660,144709,390,1412
"506",38376,70,4475,130,4475,0,0
"507",38379,330,22119,500,22310,70,268
"508",38380,90,9295,220,9317,30,97
"509",38381,460,24188,630,24565,60,221
"510",38382,2650,163724,3850,166400,410,1338
"511",38387,90,6784,170,6843,0,0
"512",38388,470,25607,690,25827,70,173
"513",38390,250,17022,390,17142,40,159
"514",38391,400,19067,550,19242,70,172
"515",38392,230,11613,330,11670,40,135
"516",38401,16560,1222507,25300,1238538,3940,15793
"517",38425,460,29175,680,29510,70,256
"518",38449,780,62543,1280,63282,240,995
"519",38450,710,39195,980,39778,220,1079
"520",38451,1380,104118,2160,105214,310,1091
"521",38452,220,14115,380,14284,80,345
"522",38453,90,9120,170,9210,30,116
"523",38454,250,18605,410,18795,40,130
"524",38456,980,50316,1280,51042,150,450
"525",38457,190,11277,300,11389,40,112
"526",38459,90,9073,190,9142,20,96
"527",38460,360,23254,570,23407,50,156
"528",38461,410,28617,570,28990,90,325
"529",38462,2660,158792,3990,161370,410,1482
"530",38463,730,40512,990,40883,170,782
"531",38464,6130,375291,8860,381247,1020,3561
"532",38468,1370,82431,2030,83515,250,838
"533",38469,1090,73604,1610,74566,210,755
"534",38471,110,7201,200,7235,20,77
"535",38472,650,52280,1110,52984,140,545
"536",38473,230,16828,420,16952,50,168
"537",38474,2270,131716,3190,133542,320,1064
"538",38475,200,7708,240,7751,0,0
"539",38476,310,27514,480,27994,80,378
"540",38477,590,48870,1080,49327,180,667
"541",38478,4690,326718,7450,331464,850,3064
"542",38481,260,15354,380,15460,50,219
"543",38482,510,37217,760,37791,100,440
"544",38483,1680,86656,2140,87721,210,601
"545",38485,1560,101039,2410,102369,350,1182
"546",38486,260,14785,390,14909,40,108
"547",38487,360,25409,490,26028,60,264
"548",38488,640,55318,1010,56039,180,915
"549",38501,9420,735600,14920,750009,2140,10313
"550",38504,300,20950,550,21242,70,206
"551",38506,7410,615650,11660,626770,2250,9625
"552",38541,350,25308,600,25675,80,272
"553",38543,130,7285,230,7341,0,0
"554",38544,1920,115757,2770,117259,360,1362
"555",38545,320,18393,520,18545,50,176
"556",38547,590,42316,850,42934,120,441
"557",38548,230,13275,320,13407,40,134
"558",38549,920,80329,1530,81587,190,770
"559",38551,1060,51480,1560,52160,130,426
"560",38552,90,5612,140,5632,0,0
"561",38553,670,31161,870,31633,120,308
"562",38554,200,10979,340,11057,30,91
"563",38555,4760,310760,7490,316198,990,3677
"564",38556,2930,161907,4220,164234,430,1497
"565",38558,460,263508,4100,265680,1280,5289
"566",38559,350,17570,520,17800,40,109
"567",38560,360,22466,560,22580,50,161
"568",38562,1410,85259,2330,86583,210,723
"569",38563,730,47419,1100,48025,130,392
"570",38564,90,9526,210,9593,30,74
"571",38565,330,14316,400,14536,40,111
"572",38567,250,14847,340,14955,40,132
"573",38568,460,26441,750,26716,80,225
"574",38569,80,6250,160,6276,0,0
"575",38570,2420,155446,3830,158218,390,1454
"576",38571,3490,262961,5600,266845,760,2508
"577",38572,2590,195534,4920,198201,680,2096
"578",38573,560,34296,820,34672,90,360
"579",38574,2860,133114,3400,134714,350,1374
"580",38575,300,15535,450,15716,40,103
"581",38577,290,14617,430,14819,40,91
"582",38579,270,13937,370,14023,50,138
"583",38580,560,34035,780,34344,100,304
"584",38581,1130,67920,1690,69017,140,466
"585",38582,320,25381,550,25646,90,373
"586",38583,6310,374827,9560,380281,1010,3542
"587",38585,1030,55290,1510,55979,140,553
"588",38587,300,19593,480,19747,50,142
"589",38588,250,13868,390,14044,40,132
"590",99999,15170,2354832,31540,2397293,7370,54832
