"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","taxes_paid_returns","taxes_paid_amount"
"270",37059,"$50,000 under $75,000",70,5591,90,5591,50,110
"271",37059,"$75,000 under $100,000",60,3937,50,3996,0,0
"272",37059,"$100,000 under $200,000",30,4622,30,4622,0,0
"273",37059,"$200,000 or more",0,0,0,0,0,0
"274",37060,"Total",740,62677,1130,63612,250,948
"275",37060,"$1 under $25,000",150,4657,390,4804,20,42
"276",37060,"$25,000 under $50,000",200,10199,280,10352,40,102
"277",37060,"$50,000 under $75,000",160,11280,190,11446,60,188
"278",37060,"$75,000 under $100,000",100,11141,130,11252,50,179
"279",37060,"$100,000 under $200,000",110,16375,120,16733,80,437
"280",37060,"$200,000 or more",20,9025,20,9025,0,0
"281",37061,"Total",1330,79444,1970,80390,230,759
"282",37061,"$1 under $25,000",470,11309,890,11513,20,36
"283",37061,"$25,000 under $50,000",360,18311,510,18500,50,103
"284",37061,"$50,000 under $75,000",220,16530,270,16706,50,133
"285",37061,"$75,000 under $100,000",130,12467,150,12601,40,126
"286",37061,"$100,000 under $200,000",150,20827,150,21070,70,361
"287",37061,"$200,000 or more",0,0,0,0,0,0
"288",37062,"Total",3550,277155,4980,281456,1120,4390
"289",37062,"$1 under $25,000",690,20454,1760,20872,90,177
"290",37062,"$25,000 under $50,000",850,42213,1160,42861,170,442
"291",37062,"$50,000 under $75,000",720,48507,780,49236,200,607
"292",37062,"$75,000 under $100,000",500,47633,550,48132,210,786
"293",37062,"$100,000 under $200,000",690,84577,640,85948,380,1883
"294",37062,"$200,000 or more",100,33771,90,34407,70,495
"295",37064,"Total",17730,2428808,24450,2491650,9670,64105
"296",37064,"$1 under $25,000",2390,81418,7310,83878,460,1349
"297",37064,"$25,000 under $50,000",2850,153781,4220,157491,860,2654
"298",37064,"$50,000 under $75,000",1990,177680,2870,182339,1180,4243
"299",37064,"$75,000 under $100,000",1900,204901,2340,209568,1260,5542
"300",37064,"$100,000 under $200,000",5410,719334,5150,733402,3710,20513
"301",37064,"$200,000 or more",3190,1091694,2560,1124972,2200,29804
"302",37066,"Total",14830,1473035,22000,1497233,5210,29395
"303",37066,"$1 under $25,000",4200,101235,8260,103089,390,933
"304",37066,"$25,000 under $50,000",4200,191453,5330,193749,780,2097
"305",37066,"$50,000 under $75,000",2120,184625,3000,186956,880,2985
"306",37066,"$75,000 under $100,000",1460,174019,2000,176367,840,3514
"307",37066,"$100,000 under $200,000",2040,338445,2530,344478,1600,8886
"308",37066,"$200,000 or more",810,483258,880,492594,720,10980
"309",37067,"Total",8270,1494075,12630,1525208,5370,35016
"310",37067,"$1 under $25,000",550,30368,2850,31535,220,611
"311",37067,"$25,000 under $50,000",890,76765,2070,78787,410,1335
"312",37067,"$50,000 under $75,000",870,104914,1680,107531,620,2283
"313",37067,"$75,000 under $100,000",930,112354,1290,114409,610,2502
"314",37067,"$100,000 under $200,000",3120,439767,3100,447736,2100,11673
"315",37067,"$200,000 or more",1910,729907,1640,745210,1410,16612
"316",37069,"Total",7000,1348891,8990,1378894,4280,30190
"317",37069,"$1 under $25,000",250,21720,2450,22511,200,545
"318",37069,"$25,000 under $50,000",500,40351,1090,41750,320,1106
"319",37069,"$50,000 under $75,000",700,55396,890,57098,420,1487
"320",37069,"$75,000 under $100,000",810,79542,910,81645,510,2248
"321",37069,"$100,000 under $200,000",2590,299340,2120,307389,1520,8566
